"full_name","ad","tp_cal","e","q","i","om","w","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT","name","epoch","epoch_cal","a","moid","moid_ld","first_obs","last_obs"
"    1P/Halley",35.28,1986-02-08.1,0.9679,0.575,162.20,59.07,112.21,75.9,HTC,57852,0,8518,,4.9e-10,1.6e-10,,,Halley,2439907.5,1968-02-21.0,17.93,0.0745,29,1835-08-21,1994-01-11
"    2P/Encke",4.10,2023-10-21.7,0.8483,0.337,11.47,334.27,187.05,3.31,ETc,2428,1,587,,2.8e-10,4.1e-12,,,Encke,2459780.5,2022-07-20.0,2.22,0.168,65.3,2018-11-05,2025-06-29
"    3D/Biela",6.19,1832-11-26.6,0.7513,0.879,13.22,250.67,221.66,6.65,JFc,,,26,,3.9e-09,-2.5e-10,,,Biela,2390520.5,1832-12-03.0,3.535,0.000518,0.202,,
"    4P/Faye",6.02,2021-09-05.6,0.5845,1.578,8.16,194.80,205.99,7.4,JFc,3593,0,3562,,4.0e-09,3.2e-10,-7.1e-10,-37.7,Faye,2458522.5,2019-02-08.0,3.798,0.589,229,2013-05-23,2023-03-25
"    5D/Brorsen",5.61,1879-03-31.0,0.8098,0.590,29.38,102.97,14.95,5.46,JFc,,,127,,1.3e-08,1.3e-09,,,Brorsen,2407440.5,1879-04-01.0,3.101,0.367,143,,
"    6P/d'Arrest",5.64,2021-09-17.7,0.6127,1.355,19.51,138.94,178.11,6.54,JFc,2913,1,1093,,1.8e-10,-8.5e-10,,,d'Arrest,2459302.5,2021-03-29.0,3.497,0.343,133,2014-03-10,2022-03-01
"    7P/Pons-Winnecke",5.60,2015-01-30.5,0.6376,1.239,22.33,93.42,172.51,6.32,JFc,37122,0,1679,,6.4e-11,-5.2e-12,-1.0e-10,150,Pons-Winnecke,2457137.5,2015-04-25.0,3.419,0.226,87.8,1921-04-28,2022-12-16
"    8P/Tuttle",10.37,2008-01-27.0,0.8198,1.027,54.98,270.34,207.51,13.6,JFC,20161,0,1768,,4.2e-10,-1.7e-11,-4.6e-11,67.5,Tuttle,2454701.5,2008-08-23.0,5.7,0.0953,37.1,1967-01-07,2022-03-20
"    9P/Tempel 1",4.75,2016-08-02.5,0.5097,1.543,10.47,68.75,179.20,5.58,JFc,5887,0,3275,,2.0e-11,1.2e-11,,,Tempel,2457461.5,2016-03-14.0,3.146,0.529,206,2008-10-25,2024-12-07
"   10P/Tempel 2",4.71,2015-11-14.9,0.5365,1.421,12.03,117.80,195.53,5.37,JFc,8107,0,4616,,2.4e-10,5.6e-12,5.9e-11,,Tempel,2456492.5,2013-07-19.0,3.065,0.41,160,2003-03-07,2025-05-17
